tracking_id,datetime,windmill_generated_power(kW/h)
WM_19817,2019-04-17 08:53:20,2.5359125
WM_18723,2019-03-30 07:43:20,2.4157124
WM_34552,2019-08-10 11:33:20,3.343713
WM_28570,2019-06-26 03:53:20,8.517702
WM_36934,2019-08-27 16:43:20,3.6044874
WM_46,2018-10-29 04:43:20,7.489009
WM_5545,2018-12-16 15:13:20,4.552069
WM_6959,2018-12-27 01:53:20,10.46918
WM_9565,2019-01-14 13:43:20,8.034833
WM_33379,2019-08-02 03:33:20,2.4808455
WM_24358,2019-05-24 04:23:20,6.2104993
WM_38536,2019-09-10 00:23:20,8.054925
WM_30740,2019-07-11 20:33:20,7.073872
WM_32731,2019-07-28 12:23:20,5.7967043
WM_14062,2019-02-17 14:03:20,8.464169
WM_15294,2019-02-27 03:03:20,11.188067
WM_36014,2019-08-21 06:03:20,5.6122413
WM_5050,2018-12-11 01:23:20,12.738487
WM_17819,2019-03-22 11:53:20,2.6021526
WM_1759,2018-11-13 16:23:20,3.3788078
WM_27254,2019-06-16 12:13:20,4.5347652
WM_14482,2019-02-20 17:53:20,7.0861197
WM_40277,2019-09-23 05:03:20,4.1736
WM_23364,2019-05-17 04:43:20,6.065045
WM_35071,2019-08-14 02:53:20,8.601046
WM_1240,2018-11-09 20:43:20,4.587312
WM_193,2018-10-30 05:43:20,8.529269
WM_31417,2019-07-16 15:23:20,7.7153187
WM_37853,2019-09-05 02:13:20,5.75241
WM_34415,2019-08-09 12:13:20,2.757189
WM_20130,2019-04-22 05:03:20,3.491331
WM_36985,2019-08-28 01:13:20,3.1600313
WM_32816,2019-07-29 02:53:20,7.885515
WM_9659,2019-01-15 06:03:20,9.195063
WM_34192,2019-08-07 22:13:20,5.6950617
WM_7124,2018-12-28 06:43:20,8.901055
WM_35945,2019-08-20 18:33:20,5.447676
WM_29448,2019-07-02 12:43:20,3.9753335
WM_26129,2019-06-08 07:53:20,4.003199
WM_3566,2018-11-29 22:53:20,6.633085
WM_1340,2018-11-10 15:23:20,2.9862614
WM_14304,2019-02-19 08:33:20,6.577742
WM_22513,2019-05-11 04:33:20,4.859591
WM_15672,2019-03-01 19:03:20,11.456608
WM_28793,2019-06-27 17:53:20,1.6527526
WM_13683,2019-02-14 16:33:20,7.26998
WM_8450,2019-01-06 15:23:20,8.181408
WM_39606,2019-09-17 19:03:20,7.555511
WM_33792,2019-08-05 01:43:20,7.887203
WM_39434,2019-09-16 14:23:20,2.4102857
WM_16883,2019-03-14 00:13:20,2.6986923
WM_16423,2019-03-08 21:13:20,5.5078945
WM_19378,2019-04-07 14:43:20,4.1584826
WM_35176,2019-08-14 20:23:20,7.9839835
WM_39649,2019-09-18 02:13:20,6.0474305
WM_16624,2019-03-11 23:43:20,2.3349428
WM_25236,2019-05-31 15:13:20,3.9570804
WM_30165,2019-07-07 15:13:20,2.43612
WM_11229,2019-01-26 21:13:20,10.105094
WM_22495,2019-05-11 01:33:20,5.2297063
WM_1410,2018-11-11 03:43:20,2.8125944
WM_3502,2018-11-29 11:23:20,3.3281395
WM_11799,2019-02-01 03:53:20,9.116568
WM_22334,2019-05-09 20:43:20,5.6601048
WM_37802,2019-09-04 17:43:20,3.45044
WM_6663,2018-12-24 23:53:20,10.827075
WM_29243,2019-07-01 01:43:20,5.516329
WM_5320,2018-12-14 23:53:20,7.2750545
WM_16550,2019-03-10 15:43:20,6.952853
WM_2183,2018-11-16 16:43:20,3.9600656
WM_3438,2018-11-29 00:33:20,5.222815
WM_36325,2019-08-23 10:03:20,2.864506
WM_8597,2019-01-07 16:23:20,5.357043
WM_31833,2019-07-19 14:33:20,5.264517
WM_10149,2019-01-18 22:33:20,9.991883
WM_38811,2019-09-11 22:23:20,8.168102
WM_31073,2019-07-14 05:13:20,4.082599
WM_1314,2018-11-10 11:03:20,5.1489944
